,No.,name,rating,location,category,startrange,endrange,price,pricerank,"ăn vặt, ăn vặt vỉa hè","đồ ăn sáng, đồ ăn sáng vỉa hè",quán cơm văn phòng,"quán cơm bình dân, cơm mang đi",đồ ăn nhanh,"cơm, phở","đồ ăn hàn quốc, nhà hàng hàn quốc","đồ ăn nhật bản, nhà hàng nhật bản",nhà hàng,pizza,nhà hàng chay,trà sữa,cafe,"bánh ngọt, bánh sinh nhật"
2240,2240,the g.a bakery - lương thế vinh,8.0,quận nam từ liêm,bánh ngọt,50000,100000,cheap,1,,,,,,,,,,,,,x,x
2241,2241,simisi - korean foods - lương thế vinh,5.2,quận thanh xuân,nhà hàng,25000,150000,medium,2,,,,,,,,,x,,,,,
2242,2242,shin coffee - lương thế vinh,7.0,quận thanh xuân,cafe tráng miệng,10000,50000,cheap,1,,,x,,,,,,,,,x,x,
2243,2243,cơm cốc kup bap - lương thế vinh,6.7,quận thanh xuân,nhà hàng,20000,100000,cheap,1,x,x,x,x,,,,,x,,,,,
2244,2244,lương tâm quán,6.7,quận đống đa,ăn vặt vỉa hè,10000,50000,cheap,1,x,x,,,x,,,,,,,,x,
2245,2245,pizza home - lương sử,6.9,quận đống đa,nhà hàng,50000,165000,medium,2,,,,,,,,,,x,,,,
2246,2246,cô hồng - cháo sườn trứng chim cút - lương sử c,7.1,quận đống đa,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
2247,2247,đức long - doner kebab - lương ngọc quyến,7.2,quận hoàn kiếm,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
2248,2248,bà thanh béo - phở xào bắp bò - lương ngọc quyến,7.1,quận hoàn kiếm,nhà hàng,20000,70000,cheap,1,,,,,,x,,,x,,,,,
2249,2249,lục thuỷ cafe & lounge,7.3,quận hoàn kiếm,cafe tráng miệng,50000,550000,expensive,3,,,x,,,,,,,,,x,x,
2250,2250,xôi cô kim - lò đúc,6.9,quận hai bà trưng,ăn vặt vỉa hè,15000,30000,cheap,1,,x,,x,,,,,,,,,,
2251,2251,xôi bự - lò đúc,7.7,quận hai bà trưng,nhà hàng,10000,30000,cheap,1,,x,,x,,,,,,,,,,
2252,2252,vịt quay - lò đúc,6.6,quận hai bà trưng,nhà hàng,50000,165000,medium,2,,,,,,,,,x,,,,,
2253,2253,út gạo - bánh canh ghẹ tươi - lò đúc,6.0,quận hai bà trưng,ăn vặt vỉa hè,35000,50000,cheap,1,,,,,,,,,,,,,x,
2254,2254,royaltea - trà sữa hồng kông - lò đúc,8.2,quận hai bà trưng,cafe tráng miệng,30000,70000,cheap,1,,,x,,,,,,,,,x,x,
2255,2255,royaltea - lò đúc,7.2,quận hai bà trưng,cafe tráng miệng,30000,70000,cheap,1,,,,,,,,,,,,,x,
2256,2256,phở thìn - lò đúc,5.8,quận hai bà trưng,nhà hàng,40000,60000,cheap,1,,,,,,x,,,,,,,,
2257,2257,nét việt - món của người việt - lò đúc,7.6,quận hai bà trưng,nhà hàng,15000,100000,cheap,1,,,,,,,,,x,,,,,
2258,2258,master tea 美茶 - lò đúc,7.0,quận hai bà trưng,cafe tráng miệng,26000,50000,cheap,1,,,,,,,,,,,,,x,
2259,2259,mamykit - world food - lò đúc,7.4,quận hai bà trưng,delivery,30000,60000,cheap,1,,,,,,,,,,,,,,
2260,2260,lẩu nhớ - lò đúc,6.8,quận hai bà trưng,nhà hàng,120000,150000,medium,2,,,,,,,,,x,,,,,
2261,2261,kampong chicken house - cơm gà hải nam - lò đúc,7.4,quận hai bà trưng,nhà hàng,89000,89000,cheap,1,,x,x,x,,,,,x,,,,,
2262,2262,cơm tấm sườn nướng - lò đúc,6.0,quận hai bà trưng,nhà hàng,40000,50000,cheap,1,,x,x,x,,,,,x,,,,,
2263,2263,cô hằng quán - cháo sườn & cháo trai - lò đúc,7.1,quận hai bà trưng,delivery,20000,50000,cheap,1,,,,,,,,,,,,,,
2264,2264,bếp kay - cơm văn phòng online - lò đúc,2.1,quận hai bà trưng,delivery,35000,35000,cheap,1,,x,x,x,,,,,x,,,,,
2265,2265,bánh mì v+ - lò đúc,8.1,quận hai bà trưng,ăn vặt vỉa hè,15000,40000,cheap,1,,x,,x,,,,,,,,,x,
2266,2266,bánh cuốn gia an - lò đúc,6.4,quận hai bà trưng,nhà hàng,15000,50000,cheap,1,,x,x,,,,,,,,,,x,
2267,2267,bami sot - bánh mì đen - lò đúc,7.1,quận hai bà trưng,ăn vặt vỉa hè,12000,50000,cheap,1,,x,,x,,,,,,,,,x,
2268,2268,anh hòa french bakery - lò đúc,7.3,quận hai bà trưng,bánh ngọt,25000,300000,medium,2,,,,,,,,,,,,,x,x
2269,2269,lổu quán – giải phóng,7.0,quận hoàng mai,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
2270,2270,d’maris - lotte mart,9.2,quận đống đa,nhà hàng,350000,500000,expensive,3,,,,,,,,,x,,,,,
2271,2271,manwah taiwanese hotpot - lotte liễu giai,8.0,quận ba đình,nhà hàng,350000,450000,expensive,3,,,,,,,,,x,,,,,
2272,2272,top of hanoi - lotte hotels & resorts hanoi,7.9,quận ba đình,nhà hàng,100000,300000,medium,2,,,,,,,,,x,,,,,
2273,2273,the lounge sky - lotte hotels & resorts hanoi,8.5,quận ba đình,nhà hàng,75000,150000,medium,2,,,,,,,,,x,,,,,
2274,2274,grill 63 - lotte hotels & resorts hanoi,8.2,quận ba đình,nhà hàng,50000,250000,medium,2,,,,,,,,,x,,,,,
2275,2275,tim ho wan - dimsum hồng kông - lotte hotel hanoi,7.9,quận ba đình,nhà hàng,100000,1000000,expensive,3,,,,,,,,,x,,,,,
2276,2276,truly việt - lotte center,7.6,quận ba đình,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
2277,2277,thaiexpress - lotte center,6.9,quận ba đình,nhà hàng,10000,90000,cheap,1,,,,,,,,,x,,,,,
2278,2278,tasaki bbq - lotte center,7.6,quận ba đình,nhà hàng,250000,350000,medium,2,,,,,,,,,x,,,,,
2279,2279,mochi sweets - lotte center,7.3,quận ba đình,bánh ngọt,32000,200000,medium,2,,,,,,,,,,,,,x,x
2280,2280,meiwei - trung hoa mỹ vị - lotte center,7.5,quận ba đình,nhà hàng,29000,699000,expensive,3,,,,,,,,,x,,,,,
2281,2281,meiwei - lotte center,7.8,quận ba đình,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2282,2282,sushi kei - lotte center liễu giai,6.3,quận ba đình,nhà hàng,10000,199000,medium,2,,,,,,,,x,,,,,,
2283,2283,hotto - món ngon trên đĩa nóng - lotte center,6.4,quận ba đình,nhà hàng,50000,100000,cheap,1,,,,,,,,,x,,,,,
2284,2284,hotto - lotte center,7.6,quận ba đình,nhà hàng,80000,150000,medium,2,,,,,,,,,x,,,,,
2285,2285,hotpot story - lotte center,8.2,quận ba đình,nhà hàng,129000,269000,medium,2,,,,,,,,,x,,,,,
2286,2286,gojumong casual - nướng hàn quốc - lotte center,7.6,quận ba đình,nhà hàng,300000,1000000,expensive,3,x,,,,,,,,,,,,,
2287,2287,delica hans - lotte hotels & resorts hanoi - lotte center,7.6,quận ba đình,bánh ngọt,30000,250000,medium,2,,,,,,,,,,,,,x,x
2288,2288,artisée cafe deli - lotte center,7.5,quận ba đình,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
2289,2289,angel in us coffee tầng 65 - lotte center,7.1,quận ba đình,cafe tráng miệng,30000,100000,cheap,1,,,x,,,,,,,,,x,x,
2290,2290,angel in us coffee - lotte center,7.5,quận ba đình,cafe tráng miệng,50000,100000,cheap,1,,,x,,,,,,,,,x,x,
2291,2291,diamond sky bar - lò sũ,9.0,quận hoàn kiếm,nhà hàng,400000,600000,expensive,3,,,,,,,,,x,,,,,
2292,2292,bánh su kem singapore chewy junior - lò sũ,7.2,quận hoàn kiếm,bánh ngọt,25000,150000,medium,2,,,,,,,,,,,,,x,x
2293,2293,king roti - long biên,7.1,quận long biên,bánh ngọt,10000,20000,cheap,1,,,,,,,,,,,,,x,x
2294,2294,hương quê - long biên,8.0,quận long biên,nhà hàng,200000,350000,medium,2,,,,,,,,,x,,,,,
2295,2295,hải sản 5 cua - cua biển cà mau - long biên,7.1,quận long biên,nhà hàng,50000,500000,expensive,3,,,,,,,,,x,,,,,
2296,2296,gà mẹt & gà không lối thoát - long biên,7.1,quận long biên,nhà hàng,20000,300000,medium,2,,,,,,,,,x,,,,,
2297,2297,chaebon - kimbap ngon số 1 - long biên,7.2,quận long biên,nhà hàng,20000,30000,cheap,1,,,,,,,,,x,,,,,
2298,2298,"lòng ""chát""",7.2,quận đống đa,nhà hàng,30000,200000,medium,2,,,,,,,,,x,,,,,
2299,2299,loading t cafe,8.1,quận hoàn kiếm,cafe tráng miệng,20000,45000,cheap,1,,,x,,,,,,,,,x,x,
2300,2300,kimbap - little korean homemade,7.7,quận tây hồ,nhà hàng,90000,150000,medium,2,,,,,,,,,x,,,,,
2301,2301,yakimono - nướng nhật bản - linh đàm,8.0,quận hoàng mai,nhà hàng,150000,250000,medium,2,,,,,,,,x,,,,,,
2302,2302,xích beer - linh đàm,7.1,quận hoàng mai,nhà hàng,30000,100000,cheap,1,,,,,,,,,x,,,,,
2303,2303,the pizza company - linh đàm,9.0,quận hoàng mai,nhà hàng,50000,220000,medium,2,,,,,,,,,,x,,,,
2304,2304,the alley - trà sữa đài loan - linh đàm,6.9,quận hoàng mai,cafe tráng miệng,41000,70000,cheap,1,,,x,,,,,,,,,x,x,
2305,2305,soya garden - linh đàm,7.7,quận hoàng mai,cafe tráng miệng,31000,69000,cheap,1,,,x,,,,,,,,x,x,x,
2306,2306,royaltea - trà sữa hồng kông - linh đàm,4.9,quận hoàng mai,cafe tráng miệng,30000,70000,cheap,1,,,x,,,,,,,,,x,x,
2307,2307,phở cuốn ngũ xã - linh đàm,7.1,quận hoàng mai,nhà hàng,30000,45000,cheap,1,,,,,,x,,,,,,,,
2308,2308,pepperonis delivery outlet - linh đàm,5.7,quận hoàng mai,nhà hàng,30000,220000,medium,2,,,,,,,,,x,,,,,
2309,2309,ngọc thạch quán - linh đàm,6.4,quận hoàng mai,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
2310,2310,mường hoa quán - linh đàm,7.4,quận hoàng mai,nhà hàng,120000,150000,medium,2,,,,,,,,,x,,,,,
2311,2311,kombo - cơm niêu singapore - linh đàm,8.3,quận hoàng mai,nhà hàng,20000,110000,medium,2,,x,x,x,,,,,x,,,,,
2312,2312,khói bếp 2 - linh đàm,6.8,quận hoàng mai,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2313,2313,gogi house - nướng hàn quốc - linh đàm,8.2,quận hoàng mai,nhà hàng,150000,500000,expensive,3,x,,,,,,,,,,,,,
2314,2314,bún ốc sườn cô sáu - linh đàm,7.1,quận hoàng mai,nhà hàng,25000,50000,cheap,1,x,,x,x,,x,,,,,,,,
2315,2315,bánh tráng cuốn thịt heo hoàng bèo - linh đàm,2.5,quận hoàng mai,nhà hàng,30000,180000,medium,2,x,,,,,,,,,,,,x,
2316,2316,bánh mì b+ - linh đàm,7.1,quận hoàng mai,nhà hàng,10000,25000,cheap,1,,x,,x,,,,,,,,,x,
2317,2317,ẩm thực hồng hạc - linh đàm,6.0,quận hoàng mai,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
2318,2318,trà sữa taster's choice - lĩnh nam,6.7,quận hoàng mai,cafe tráng miệng,20000,60000,cheap,1,,,x,,,,,,,,,x,x,
2319,2319,the 1989 - trà sữa muối biển - lĩnh nam,7.1,quận hoàng mai,cafe tráng miệng,15000,40000,cheap,1,,,x,,,,,,,,,x,x,
2320,2320,nướng mẹt - lĩnh nam,7.1,quận hoàng mai,ăn vặt vỉa hè,50000,150000,medium,2,x,x,,,x,,,,,,,,x,
2321,2321,king fe - nhà hàng nướng lẩu - lĩnh nam,7.0,quận hoàng mai,nhà hàng,169000,298000,medium,2,,,,,,,,,x,,,,,
2322,2322,bún bò huế ngự uyển - lĩnh nam,6.6,quận hoàng mai,nhà hàng,25000,60000,cheap,1,,,x,x,,x,,,x,,,,,
2323,2323,bánh mì dân tổ - lĩnh nam,7.1,quận hai bà trưng,nhà hàng,10000,50000,cheap,1,,x,,x,,,,,,,,,x,
2324,2324,lifted coffee & brunch,7.5,quận hoàn kiếm,nhà hàng,70000,250000,medium,2,,,x,,,,,,,,,x,x,
2325,2325,sky coffee - liễu giai,8.3,quận ba đình,cafe tráng miệng,30000,50000,cheap,1,,,x,,,,,,,,,x,x,
2326,2326,pizza 4p's - pizza kiểu nhật - liễu giai,8.1,quận ba đình,nhà hàng,100000,400000,medium,2,,,,,,,,,,x,,,,
2327,2327,mì cá sakami - liễu giai,7.0,quận ba đình,nhà hàng,35000,100000,cheap,1,,x,,x,,,,,x,,,,,
2328,2328,mchef sawadee - liễu giai,5.8,quận ba đình,nhà hàng,135000,200000,medium,2,,,,,,,,,x,,,,,
2329,2329,hải sản phố - liễu giai,8.0,quận ba đình,nhà hàng,450000,500000,expensive,3,,,,,,,,,x,,,,,
2330,2330,bánh mì v+ - liễu giai,6.8,quận ba đình,ăn vặt vỉa hè,15000,40000,cheap,1,,x,,x,,,,,,,,,x,
2331,2331,xing cha - lê đức thọ,6.7,quận nam từ liêm,cafe tráng miệng,25000,49000,cheap,1,,,x,,,,,,,,x,x,x,
2332,2332,vua chả cá - lê đức thọ,6.4,quận nam từ liêm,nhà hàng,50000,500000,expensive,3,,,,,,,,,x,,,,,
2333,2333,lẩu nấm thảo quý - lê đức thọ,7.0,quận nam từ liêm,nhà hàng,200000,250000,medium,2,,,,,,,,,x,,,,,
2334,2334,nhất nướng - lê đức thọ kéo dài,6.6,quận cầu giấy,nhà hàng,20000,165000,medium,2,,,,,,,,,x,,,,,
2335,2335,fenghuang - lê đức thọ,7.7,quận nam từ liêm,nhà hàng,150000,300000,medium,2,,,,,,,,,x,,,,,
2336,2336,dimsum & lẩu trung hoa - fenghuang - lê đức thọ,7.0,quận nam từ liêm,nhà hàng,209000,269000,medium,2,,,,,,,,,x,,,,,
2337,2337,buk buk - nhà hàng nướng đường phố - lê đức thọ,7.6,quận nam từ liêm,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2338,2338,trà sữa bobapop - lê đại hành,7.4,quận hai bà trưng,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,,x,x,
2339,2339,the alley - trà sữa đài loan - lê đại hành,7.1,quận hai bà trưng,cafe tráng miệng,41000,70000,cheap,1,,,x,,,,,,,,,x,x,
2340,2340,quán nhậu tự do - lê đại hành,7.8,quận hai bà trưng,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2341,2341,phở cuốn hương mai - lê đại hành,7.6,quận hai bà trưng,nhà hàng,50000,100000,cheap,1,,,,,,x,,,,,,,,
2342,2342,le castella hà nội - taste of taiwan - lê đại hành,7.1,quận hai bà trưng,bánh ngọt,119000,149000,medium,2,,,,,,,,,,,,,x,x
2343,2343,ding tea - lê đại hành,7.0,quận hai bà trưng,cafe tráng miệng,25000,55000,cheap,1,,,,,,,,,,,,,x,
2344,2344,bò ngon 555 - lê đại hành,7.2,quận hai bà trưng,nhà hàng,150000,170000,medium,2,,,,,,,,,x,,,,,
2345,2345,beard papa's - lê đại hành,7.5,quận hai bà trưng,bánh ngọt,20000,100000,cheap,1,,,,,,,,,,,,,x,x
2346,2346,phở cuốn hương mai - lê văn thiêm,9.4,quận thanh xuân,nhà hàng,50000,200000,medium,2,,,,,,x,,,,,,,,
2347,2347,nhuận trạch viên - lê văn thiêm,7.8,quận thanh xuân,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
2348,2348,lạ quán - lê văn thiêm,7.8,quận thanh xuân,nhà hàng,100000,180000,medium,2,,,,,,,,,x,,,,,
2349,2349,kombo - cơm niêu singapore - lê văn thiêm,6.6,quận thanh xuân,nhà hàng,20000,110000,medium,2,,x,x,x,,,,,x,,,,,
2350,2350,emvoi - lê văn thiêm,6.0,quận thanh xuân,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
2351,2351,đại lâm mộc - lê văn lương,7.8,quận thanh xuân,nhà hàng,300000,500000,expensive,3,,,,,,,,,x,,,,,
2352,2352,yaki nabesu - lê văn lương,7.0,quận thanh xuân,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
2353,2353,phương - ốc hải phòng - lê văn lương,8.4,quận cầu giấy,nhà hàng,50000,200000,medium,2,x,,,,,,,,,,,,,
2354,2354,mr lòng - lê văn lương,7.0,quận thanh xuân,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
2355,2355,ibiero craft beer station - lê văn lương,7.4,quận thanh xuân,nhà hàng,250000,500000,expensive,3,,,,,,,,,x,,,,,
2356,2356,gogi steak house - lê văn lương,7.6,quận thanh xuân,nhà hàng,400000,500000,expensive,3,,,,,,,,,,,,,x,
2357,2357,fujibin - lê văn lương,7.4,quận thanh xuân,nhà hàng,200000,400000,medium,2,,,,,,,,,x,,,,,
2358,2358,fruity fact - lê văn lương,7.8,quận thanh xuân,cafe tráng miệng,35000,65000,cheap,1,,,x,,,,,,,,x,x,x,
2359,2359,nhà hàng sen xanh - lê văn lương,7.6,quận thanh xuân,nhà hàng,250000,350000,medium,2,,,,,,,,,x,,,,,
2360,2360,nhà hàng poseidon - lê văn lương,8.4,quận thanh xuân,nhà hàng,350000,380000,medium,2,,,,,,,,,x,,,,,
2361,2361,668 bbq & hotpot - lê văn lương,7.4,quận thanh xuân,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
2362,2362,tomato - hải sản tươi sống - lê văn hưu,8.1,quận hai bà trưng,nhà hàng,50000,220000,medium,2,,,,,,,,,x,,,,,
2363,2363,grille6 steakhouse - lê văn hưu,7.6,quận hai bà trưng,nhà hàng,150000,250000,medium,2,,,,,,,,,,,,,x,
2364,2364,"grille6 - salad, steak & pasta - lê văn hưu",6.5,quận hai bà trưng,nhà hàng,50000,100000,cheap,1,,,,,,,,,x,x,,,x,
2365,2365,bún chả que tre bình chung - lê văn hưu,6.4,quận hai bà trưng,nhà hàng,40000,65000,cheap,1,,,x,x,,x,,,,,,,,
2366,2366,1915y restaurant - ẩm thực việt - lê văn hưu,7.7,quận hai bà trưng,nhà hàng,50000,350000,medium,2,,,,,,,,,x,,,,,
2367,2367,trà sữa mixue - lê văn hiến,9.2,quận bắc từ liêm,cafe tráng miệng,30000,100000,cheap,1,,,x,,,,,,,,,x,x,
2368,2368,teafox - lê văn hiến,7.2,quận bắc từ liêm,cafe tráng miệng,35000,60000,cheap,1,,,,,,,,,,,,,x,
2369,2369,chim quay - lê văn hiến,7.1,quận bắc từ liêm,ăn vặt vỉa hè,30000,50000,cheap,1,x,x,,,x,,,,,,,,x,
2370,2370,yakimono - nướng nhật bản - lê trọng tấn,6.1,quận thanh xuân,nhà hàng,98000,198000,medium,2,,,,,,,,x,,,,,,
2371,2371,vịt 29 - lê trọng tấn,7.1,quận thanh xuân,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
2372,2372,lươn o quế - đặc sản nghệ an - lê trọng tấn,8.9,quận thanh xuân,nhà hàng,30000,120000,medium,2,,,,,,,,,x,,,,,
2373,2373,chaebon - kimbap ngon số 1 - lê trọng tấn,7.1,quận thanh xuân,nhà hàng,30000,100000,cheap,1,,,,,,,,,x,,,,,
2374,2374,argento cafe - lê thánh tông,7.5,quận hoàn kiếm,cafe tráng miệng,20000,55000,cheap,1,,,x,,,,,,,,,x,x,
2375,2375,trà sữa teaholic - lê thanh nghị,7.8,quận hai bà trưng,cafe tráng miệng,30000,50000,cheap,1,,,x,,,,,,,,,x,x,
2376,2376,trà sữa bobapop - lê thanh nghị,7.2,quận hai bà trưng,cafe tráng miệng,26000,50000,cheap,1,,,x,,,,,,,,,x,x,
2377,2377,bánh ngọt it - lê thanh nghị,6.8,quận hai bà trưng,cafe tráng miệng,35000,77000,cheap,1,,,,,,,,,,,,,x,
2378,2378,pow pow snow - lê thanh nghị,7.4,quận hai bà trưng,cafe tráng miệng,30000,125000,medium,2,,,x,,,,,,,,x,x,x,
2379,2379,duy nhất - phở bò & cơm rang - lê thanh nghị,7.1,quận hai bà trưng,nhà hàng,10000,30000,cheap,1,,x,x,x,,x,,,x,,,,,
2380,2380,cúc - cháo sườn sụn - lê thanh nghị,6.7,quận hai bà trưng,ăn vặt vỉa hè,25000,50000,cheap,1,x,x,,,x,,,,,,,,x,
2381,2381,chick garden - chè khoai dẻo - lê thanh nghị,4.2,quận hai bà trưng,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,x,x,x,
2382,2382,cháo bách khoa - lê thanh nghị,7.3,quận hai bà trưng,ăn vặt vỉa hè,10000,30000,cheap,1,x,x,,,x,,,,,,,,x,
2383,2383,bánh mì v+ - lê thanh nghị,7.1,quận hai bà trưng,ăn vặt vỉa hè,15000,30000,cheap,1,,x,,x,,,,,,,,,x,
2384,2384,let's sushi,7.5,quận đống đa,nhà hàng,49000,89000,cheap,1,,,,,,,,x,,,,,,
2385,2385,ốc nóng - lê quý đôn,7.0,quận hà đông,ăn vặt vỉa hè,15000,30000,cheap,1,x,,,,,,,,,,,,,
2386,2386,bò né miên - lê quý đôn,8.7,quận hà đông,nhà hàng,20000,50000,cheap,1,,,,,,,,,x,,,,,
2387,2387,the valley house - lê ngọc hân,7.6,quận hai bà trưng,nhà hàng,200000,350000,medium,2,,,,,,,,,x,,,,,
2388,2388,spaghetti box - lê ngọc hân,7.3,quận hai bà trưng,nhà hàng,12000,54000,cheap,1,,,,,x,,,,,,,,,
2389,2389,bánh đúc nóng & miến trộn - lê ngọc hân,6.7,quận hai bà trưng,nhà hàng,25000,30000,cheap,1,,,,,,x,,,,,,,x,
2390,2390,ẩm thực tây bắc - lê ngọc hân,7.0,quận hai bà trưng,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2391,2391,le monde steak – royal city,7.6,quận thanh xuân,nhà hàng,150000,250000,medium,2,,,,,,,,,,,,,x,
2392,2392,nguyễn văn dực - lệ mật,8.0,quận long biên,nhà hàng,170000,200000,medium,2,,,,,,,,,x,,,,,
2393,2393,khue restaurant - le jardin,8.0,quận ba đình,nhà hàng,250000,450000,expensive,3,,,,,,,,,x,,,,,
2394,2394,ốc trang - lê hồng phong,7.2,quận hà đông,ăn vặt vỉa hè,40000,250000,medium,2,x,,,,,,,,,,,,,
2395,2395,crepes box - fastfood & drinks - lê hồng phong,7.1,quận hà đông,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
2396,2396,legend beer brew house no1,7.3,quận đống đa,nhà hàng,200000,550000,expensive,3,,,,,,,,,x,,,,,
2397,2397,bún ngan chặt - lê duẩn,7.1,quận đống đa,ăn vặt vỉa hè,30000,140000,medium,2,,,x,x,,x,,,,,,,,
2398,2398,lavender garden bar,7.9,quận hoàn kiếm,cafe tráng miệng,100000,550000,expensive,3,,,x,,,,,,,,x,x,x,
2399,2399,qq hot - lẩu đài loan,7.5,quận cầu giấy,nhà hàng,140000,160000,medium,2,,,,,,,,,x,,,,,
2400,2400,đèn lồng quán - lẩu thái tomyum,8.2,quận hai bà trưng,nhà hàng,250000,450000,expensive,3,,,,,,,,,x,,,,,
2401,2401,lẩu tuyết - lẩu thái tomyum & đồ nướng tự chọn,7.2,quận nam từ liêm,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
2402,2402,thai little - lẩu thái,7.7,quận ba đình,nhà hàng,50000,150000,medium,2,,,,,,,,,x,,,,,
2403,2403,lạ quán - lẩu thái hải sản,6.8,quận hoàn kiếm,nhà hàng,15000,33000,cheap,1,,,,,,,,,x,,,,,
2404,2404,bếp thái sawadee - lẩu thái & món đường phố,7.1,quận hai bà trưng,nhà hàng,50000,200000,medium,2,,,,,,,,,x,,,,,
2405,2405,lẩu sơn tùng  – trần đại nghĩa,7.4,quận hai bà trưng,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
2406,2406,min - lẩu sạch & chân cánh gà,7.7,quận hai bà trưng,nhà hàng,50000,200000,medium,2,,,,,,,,,x,,,,,
2407,2407,thìn béo - lẩu riêu cua,7.4,quận hai bà trưng,nhà hàng,25000,250000,medium,2,,,,,,,,,x,,,,,
2408,2408,lẩu nguyệt - lẩu riêu cua sườn sụn,6.7,quận hai bà trưng,nhà hàng,100000,200000,medium,2,,,,,,,,,x,,,,,
2409,2409,lẩu phố,7.9,quận hoàn kiếm,nhà hàng,50000,110000,medium,2,,,,,,,,,x,,,,,
2410,2410,lẩu phan – đào duy anh,7.6,quận đống đa,nhà hàng,130000,200000,medium,2,,,,,,,,,x,,,,,
2411,2411,lẩu phan – nguyễn văn cừ,7.6,quận long biên,nhà hàng,130000,200000,medium,2,,,,,,,,,x,,,,,
2412,2412,lẩu phan – giải phóng,7.6,quận hoàng mai,nhà hàng,130000,200000,medium,2,,,,,,,,,x,,,,,
2413,2413,lẩu nướng đường tàu,8.1,quận đống đa,nhà hàng,50000,390000,medium,2,,,,,,,,,x,,,,,
2414,2414,đỉnh nướng - lẩu nướng than hoa,6.1,quận hà đông,nhà hàng,50000,250000,medium,2,,,,,,,,,x,,,,,
2415,2415,pappami - lẩu nướng phiêu lưu ký – nguyễn văn lộc,7.2,quận hà đông,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2416,2416,osaka bbq - lẩu nướng nhật bản,7.0,quận hai bà trưng,nhà hàng,50000,250000,medium,2,,,,,,,,,x,,,,,
2417,2417,mishagi - lẩu nướng nhật bản,6.3,quận hai bà trưng,nhà hàng,50000,500000,expensive,3,,,,,,,,,x,,,,,
2418,2418,hachi ju hachi shouten - lẩu nướng nhật bản,8.4,quận tây hồ,nhà hàng,100000,330000,medium,2,,,,,,,,,x,,,,,
2419,2419,chef bbq - nướng & lẩu nhật bản,7.7,quận cầu giấy,nhà hàng,200000,400000,medium,2,,,,,,,,,x,,,,,
2420,2420,lẩu nướng không khói sài gòn – 258 thượng đình,7.0,quận thanh xuân,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2421,2421,lẩu nướng không khói sài gòn – 188 thượng đình,7.0,quận thanh xuân,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
2422,2422,hankang quán - lẩu nướng hàn quốc,6.8,quận đống đa,nhà hàng,30000,150000,medium,2,x,,,,,,,,x,,,,,
2423,2423,sapasa - lẩu nướng & vườn bia,6.4,quận thanh xuân,nhà hàng,50000,250000,medium,2,,,,,,,,,x,,,,,
2424,2424,quán gia đình - lẩu nướng & cơm,7.8,quận cầu giấy,nhà hàng,100000,165000,medium,2,,x,x,x,,,,,x,,,,,
2425,2425,lẩu mẹt thái lan,6.3,quận hai bà trưng,nhà hàng,100000,400000,medium,2,,,,,,,,,x,,,,,
2426,2426,lẩu laksa 38 – thái hà,7.0,quận đống đa,nhà hàng,130000,150000,medium,2,,,,,,,,,x,,,,,
2427,2427,quán ngon 28 - lẩu fa hải sản,7.6,quận đống đa,nhà hàng,20000,50000,cheap,1,,,,,,,,,x,,,,,
2428,2428,lẩu ếch lò đúc,6.3,quận hai bà trưng,nhà hàng,100000,220000,medium,2,,,,,,,,,x,,,,,
2429,2429,lẩu ếch hà my,7.1,quận ba đình,nhà hàng,50000,110000,medium,2,,,,,,,,,x,,,,,
2430,2430,lẩu dê khô thu béo,10.0,quận ba đình,nhà hàng,120000,590000,expensive,3,,,,,,,,,x,,,,,
2431,2431,nam gà - lẩu cua sườn sụn,7.3,quận hai bà trưng,nhà hàng,50000,150000,medium,2,,,,,,,,,x,,,,,
